index,smiles,active
1,C12(C3(C4(C5(C3(C(C1(C5(C2(C4(Cl)Cl)Cl)Cl)Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl,6.192
2,C1=CC(=C(C(=C1C2=CC(=C(C=C2Cl)Cl)Cl)Cl)Cl)Cl,6.947
3,C1=C(C(=CC(=C1Cl)Cl)Cl)C2=CC(=C(C=C2Cl)Cl)Cl,6.888
4,C1=CC(=C(C=C1Cl)C2=CC(=C(C=C2Cl)Cl)Cl)Cl,6.768
5,C1=C(C(=CC(=C1Cl)Cl)Cl)C2=CC(=C(C(=C2Cl)Cl)Cl)Cl,6.848
6,C1=CC(=C(C=C1C2=CC(=C(C=C2Cl)Cl)Cl)Cl)Cl,6.678
7,C1=C2C(=CC(=C1Cl)Cl)OC3=CC(=C(C=C3O2)Cl)Cl,6.132
8,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,2.96
9,C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl,4.791
10,C1=CC(=C(C=C1Cl)C2=C(C=CC(=C2)Cl)Cl)Cl,6.108
11,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl,5.898
12,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl,6.365
13,C1=C2C(=CC(=C1Cl)Cl)OC3=C(O2)C(=C(C(=C3Cl)Cl)Cl)Cl,5.291
14,C1=C2C(=C(C(=C1Cl)Cl)Cl)OC3=C(O2)C(=C(C(=C3Cl)Cl)Cl)Cl,4.825
15,C1[C@H]2[C@@H]([C@H]([C@H]1Cl)Cl)[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl,6.506
16,C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,6.506
17,C12=C(C(=C(C(=C1Cl)Cl)Cl)Cl)OC3=C(O2)C(=C(C(=C3Cl)Cl)Cl)Cl,4.565
18,C1=CC=C2C(=C1)OC3=C(O2)C(=C(C(=C3Cl)Cl)Cl)Cl,4.531
19,C1=C(C(=CC(=C1Cl)Cl)Cl)Cl,3.984
20,C1=CC(=CC=C1C2=C(C=C(C=C2)Cl)Cl)Cl,5.358
21,C(Cl)(Cl)(Cl)Cl,1.275
22,C(C(Cl)(Cl)Cl)(Cl)Cl,2.154
23,C1=CC(=CC=C1C(=C(Cl)Cl)C2=CC=C(C=C2)Cl)Cl,5.889
24,Cl[C@H]1[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl,3.287
25,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,3.287
26,C1=CC(=C(C(=C1Cl)Cl)Cl)Cl,3.145
27,C1=C(C=C(C(=C1Cl)Cl)Cl)Cl,3.288
28,C1C2C3C(C1C4C2O4)C5(C(=C(C3(C5(Cl)Cl)Cl)Cl)Cl)Cl,4.489
29,C1=C(C(=C(C(=C1Cl)Cl)Cl)O)Cl,2.663
30,C(#N)c1c(c(c(c(c1Cl)Cl)Cl)C(#N))Cl,2.016
31,C(Br)(Br)Br,1.29
32,C1=CC(=C(C(=C1)Cl)Cl)Cl,2.954
33,COC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)O,3.198
34,O=C(OCC(CC)CCCC)C1=CC=CC=C1C(OCC(CC)CCCC)=O,3.017
35,CC(C)(OC(C)(C)Cl)Cl,2.507
36,C1=CC(=C(C=C1Cl)Cl)Cl,3.004
37,COc1ccc(cc1)C(c2ccc(cc2)OC)C(Cl)(Cl)Cl,3.954
38,C1=C(C=C(C(=C1Cl)O)Cl)Cl,1.971
39,C1=CC(=C(C(=C1O)Cl)Cl)Cl,2.342
40,C1=C(C=C(C=C1Cl)Cl)Cl,3.151
41,C1=C(C(=CC(=C1Cl)Cl)Cl)O,2.298
42,C(Cl)(Cl)Br,1
43,C1=CC(=CC=C1Cl)Cl,2.449
44,C1=C(C=C(C(=C1Cl)Cl)O)Cl,2.363
45,C(C(Cl)Cl)(Cl)Cl,1.292
46,C([N+](=O)[O-])(Cl)(Cl)Cl,1.077
47,C1=CC=C(C(=C1)Cl)Cl,2.372
48,C(Cl)(Cl)Cl,0.94
49,C(Cl)Br,0.51
50,C1=CC(=C(C=C1Cl)Cl)O,1.531
51,C1C2C=CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl,5.79
52,CC1=CC=CC=C1[N+](=O)[O-],1.262
53,C1C2C(COS(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,2.736
54,C(C(CCl)Cl)Cl,1.229
55,CC1=CC=C(C=C1)[N+](=O)[O-],1.159
56,CCCN(CCC)c1c(cc(cc1N(=O)(=O))C(F)(F)F)N(=O)(=O),3.247
57,C(=C(Cl)Cl)(Cl)Cl,1.663
58,C1=CC=C(C=C1)[N+](=O)[O-],0.808
59,CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],1.014
60,CCOP(=S)(OCC)Oc1nc(c(cc1Cl)Cl)Cl,3.327
61,C(Cl)Cl,0.42
62,CN(C(=O)NC1=CC(=C(C=C1)Cl)Cl)OC,1.548
