index,smiles,active
1,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,4.29
2,O=C(O)c1c(Cl)cccc1Cl,0.26
3,O=C(O)c1c(Cl)ccc(Cl)c1Cl,0.54
4,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,0.57
5,O=C(O)c1ccc(Cl)c(Cl)c1,0.36
6,COP(=S)(OC)Oc1ccc(SC)c(C)c1,2.52
7,ClC(Cl)(Cl)Cl,0.87
8,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,1.99
9,c1ccc2cc3c(ccc4ccccc43)cc2c1,2.41
10,CC(C)(O)C(Cl)(Cl)Cl,0.23
11,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,4.353333333
12,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,3.04
13,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,2.3
14,Cc1cc(O)ccc1Cl,0.93
15,CCOCC,0.73
16,CNC(=O)CSP(=S)(OC)OC,0.2
17,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,3.91
18,Nc1nc[nH]n1,0.49
19,CCOc1ccc(NC(C)=O)cc1,1.48
20,Nc1ccccc1,0.21
21,NC(N)=S,0.3
22,COP(=O)(OC)OC=C(Cl)Cl,-0.3
23,CNC(=O)Oc1cccc2ccccc12,0.95
24,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,0.45
25,ClC(Cl)Cl,1.11
26,CS(C)=O,0.6
27,ClC(Cl)(Cl)C(Cl)(Cl)Cl,2.71
28,CN(C)C=O,-0.1
29,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,2.07
30,c1ccccc1,0.63
31,CC(Cl)(Cl)Cl,0.7
32,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,2.5
33,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,4.08
34,c1ccc(Nc2ccc(Nc3ccccc3)cc2)cc1,3.12
35,ClCBr,0.6
36,ClCCl,1.36
37,S=C=S,1.29
38,BrC(Br)Br,1.13
39,C=C(Cl)Cl,1.11
40,CC(C)(C)O,0.7
41,FC(F)(Cl)Cl,0.79
42,CC(C)(C)C(=O)O,0.36
43,O=C(O)C(Cl)(Cl)Cl,0.23
44,FC(Cl)(Cl)C(F)(Cl)Cl,1.77
45,FC(F)(Cl)C(F)(Cl)Cl,1.7
46,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,3.94
47,ClC(c1ccccc1)(c1ccccc1)c1ccccc1,2.63
48,O=C(O)C(O)(c1ccccc1)c1ccccc1,0.26
49,C1=CC2C3C=CC(C3)C2C1,2.34
50,CCOP(=O)(OCC)OCC,0.11
51,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,1.7
52,CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,0.76
53,CC1=CC(=O)CC(C)(C)C1,0.3
54,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,3.48
