index,smiles,active
1,CCCC[NH-],-8.56145478
2,CC(C)CC(C)OC(C)=O,-3.11145478
3,CCCNCCC,-4.29145478
4,NC1(Cc2ccccc2)N=CN=C3N=CN=C13,-12.76145478
5,CCCC(Cl)Cl,-2.12145478
6,CC(C)Oc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1,-9.39145478
7,CCCCCCCCCCCCCN,-3.96145478
8,CCCCCCCCCCN,-4.29145478
9,CCCCOC(C)=O,-3.55145478
10,Fc1ccccc1Cl,-2.49145478
11,OC(=O)CCCCCCCCCCC(O)=O,-11.00145478
12,OC(=O)CCCCCCC(O)=O,-11.96145478
13,ClC=CCl,-2.244436569
14,CCC(O)(CC)CC,-4.48445478
15,FC(F)=C(F)C(F)(F)F,0.53254522
16,Sc1ccccc1,-3.48145478
17,OC(=O)CCCCCC(O)=O,-12.11145478
18,CCOc1nc(F)cc2nc(nn12)[S](=O)(=O)Nc3c(Cl)cccc3Cl,-15.41145478
19,CCC(C)c1cc(cc(c1OC(C)=O)[N+]([O-])=O)[N+]([O-])=O,-8.19145478
20,CCSC(C)CC1CC(=O)C(C(=O)C1)C(/CC)=N/OC\C=C\Cl,-9.48145478
21,CNC(=O)O\N=C(/C)SC,-10.68145478
22,CCC(C)C(C)=O,-3.88845478
23,CCOC=O,-3.55145478
24,CC(C)(C)Br,-1.39145478
25,Nc1cccc(c1)[N+]([O-])=O,-8.10145478
26,CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13,-9.82145478
27,CC(=C)CCl,-1.95145478
28,Oc1c(Br)cc(cc1Br)C#N,-7.99145478
29,COc1ccc(N)cc1,-7.10145478
30,CO[P](=O)(OC)OC(=C/Cl)/c1cc(Cl)c(Cl)cc1Cl,-8.38145478
31,CCC(C)N,-4.61145478
32,CC(C)=CC=C(C)C,-1.33145478
33,CCC(=O)OCC(C)C,-3.18545478
34,CC[S](=O)c1c(N)n(nc1C#N)c2c(Cl)cc(cc2Cl)C(F)(F)F,-10.41145478
35,CO[P](=O)(OC)C(O)C(Cl)(Cl)Cl,-10.98145478
36,Fc1cccc(F)c1,-1.96145478
