index,smiles,active
1,CC,0.42
2,CCC,0.97
3,CCCC,1.53
4,CCCCC,1.95
5,CCCCCC,2.4
6,CCCCCCC,2.93
7,CCCCCCCC,3.3
8,CCCCCCCCC,3.9
9,CCCCCCCCCCC,4.56
10,CCCCCCCCCCCC,4.88
11,CCCCCCCCCCCCC,5.34
12,CCCCCCCCCCCCCC,6.11
13,CCCCCCCCCCCCCCCCCC,7.87
14,CCCCCCCCCCCCCCCCCCCC,8.42
15,CC(C)C,1.23
16,CCCC(C)C,2.34
17,CCC(C)CC,1.93
18,CC(C)C(C)C,1.84
19,CC(C)CC(C)C,2.63
20,CC(C)CCC(C)C,3.1
21,CC(C)C(C)C(C)C,3.2
22,CC(C)(C)C,1.41
23,CCC(C)(C)C,2.09
24,C1CC1,1.21
25,C1CCCC1,2.21
26,C1CCCCC1,2.71
27,C1CCCCCC1,3.49
28,C1CCCCCCC1,3.86
29,CC1CCCC1,2.35
30,CC1CCCCC1,3.03
31,CCC1CCCCC1,3.57
32,C1CCC2CCCCC2C1,4.2
33,CC1CCC(CC1)C(C)C,4.06
34,CC1(C)C2CC3C(C2)C13C,3.87
35,C=C,0.28
36,CC=C,0.92
37,CCC=C,1.5
38,C\C=C/C,1.43
39,C\C=C\C,1.42
40,CCCC=C,1.93
41,CCCCC=C,2.41
42,CCCCCC=C,2.93
43,CCCCCCC=C,3.35
44,CCCCC\C=C\C,3.16
45,CCCCCCCC=C,3.83
46,CCCCCCCCC=C,4.47
47,CC(C)=C,1.46
48,CC=C(C)C,1.78
49,CC(C)CC=C,2.1
50,CC(=C)CC(C)(C)C,2.79
51,C1CCC=CC1,2.83
52,CC1=CCC2CC1C2(C)C,3.75
53,CC1(C)C2CCC(=C)C1C2,3.68
54,CC1(C)C2CCC(C2)C1=C,4.04
55,CC1=CCC2C(C1)C2(C)C,3.8
56,CC(C)C12CCC(=C)C1C2,4.39
57,C=CC=C,1.62
58,C=CCC=C,1.87
59,C=CCCC=C,2.21
60,CC(=C)C=C,2.06
61,CC(C)=CC=C(C)C,3.31
62,C1C=CCC=C1,2.71
63,C=CC1CCC=CC1,3.79
64,C\C=C1/CC2CC1C=C2,4.23
65,C1C=CC2C3CC(C=C3)C12,3.18
66,CC(C)C1=CC=C(C)CC1,3.9
67,CC(C)C1=CCC(=CC1)C,4.28
68,CC(=C)C1CCC(=CC1)C,4.04
69,CC(C)=C1CCC(=CC1)C,4.59
70,CC(C)[C@H]1CC=C(C)C=C1,4.41
71,CC(C)[C@@H]1CCC(=C)C=C1,4.42
72,CC(C)=CCCC(=C)C=C,4.08
73,C1C=CC=CC=C1,3.38
74,C\1C\C=C/CC\C=C/CC/C=C1,5.43
75,C#C,0.33
76,CC#C,1.15
77,CCC#C,1.59
78,CCCC#C,2
79,CCCCC#C,2.58
80,CCCCCC#C,2.97
81,CCCCCCC#C,3.53
82,CCCCCCCC#C,3.93
83,Cc1ccccc1C,3.92
84,Cc1cccc(C)c1,3.81
85,Cc1ccc(C)cc1,3.79
86,CCCc1ccccc1,4.09
87,CCc1ccccc1C,4.23
88,CCc1ccc(C)cc1,4.28
89,Cc1ccc(C)c(C)c1,4.2
90,Cc1cc(C)cc(C)c1,4.18
91,Cc1cccc(C)c1C,4.61
92,CCCCc1ccccc1,4.34
93,CCc1ccc(CC)cc1,4.75
94,CCc1cccc(CC)c1,5.18
95,Cc1ccc(C)c(C)c1C,4.4
96,Cc1cc(C)c(C)cc1C,5.08
97,CCCc1cccc(C)c1,5.09
98,CCCCCc1ccccc1,5.26
99,Cc1cc(C)c(C)c(C)c1C,6.12
100,Cc1c(C)c(C)c(C)c(C)c1C,6.31
101,CCCCCCc1ccccc1,5.83
102,CCCCCCCc1ccccc1,6.3
103,CCCCCCCCc1ccccc1,6.42
104,CCCCCCCCCCc1ccccc1,7.43
105,CC(C)c1ccccc1,3.98
106,CC(C)Cc1ccccc1,4.01
107,CCC(C)c1ccccc1,4.2
108,CC(C)c1ccccc1C,4.84
109,CC(C)c1cccc(C)c1,5.17
110,CC(C)c1ccc(C)cc1,4.54
111,CC(C)(C)c1ccccc1,4.18
112,Cc1ccc(cc1)C(C)(C)C,4.39
113,C1Cc2ccccc2C1,4.28
114,C=Cc1ccccc1,3.93
115,Cc1cccc(C=C)c1,4.3
116,CC(=C)c1ccccc1,4.44
117,C1CC(CC=C1)c2ccccc2,5.66
118,C#Cc1ccccc1,4.11
119,C(c1ccccc1)c2ccccc2,6.11
120,C(Cc1ccccc1)c2ccccc2,7.01
121,c1ccc(cc1)\C=C\c2ccccc2,7.48
122,c1ccc(cc1)c2ccccc2,5.88
123,CC(C)c1cccc(c1)c2ccccc2,6.69
124,CC(C)c1ccc(cc1)c2ccccc2,6.77
125,C1c2ccccc2c3ccccc13,6.79
126,Cc1cccc2c1Cc3ccccc23,7.75
127,C1Cc2ccccc2c3ccccc13,7.03
128,Cc1ccc2ccccc2c1,5.11
129,Cc1cccc2ccccc12,5.57
130,CCc1cccc2ccccc12,6.2
131,CCc1ccc2ccccc2c1,6.12
132,Cc1ccc2ccccc2c1C,6.31
133,Cc1cc(C)c2ccccc2c1,6.31
134,Cc1ccc(C)c2ccccc12,6.51
135,Cc1cccc2c(C)cccc12,6.3
136,Cc1ccc2c(C)cccc2c1,6.22
137,Cc1ccc2cccc(C)c2c1,6.49
138,Cc1cccc2cccc(C)c12,6.56
139,Cc1cc2ccccc2cc1C,6.51
140,Cc1ccc2cc(C)ccc2c1,6.3
141,Cc1ccc2ccc(C)cc2c1,6.14
142,Cc1cc(C)c2ccccc2c1C,6.8
143,Cc1ccc2cc(C)cc(C)c2c1,6.61
144,Cc1ccc(C)c2c(C)cccc12,7.04
145,Cc1ccc2c(C)ccc(C)c2c1,6.66
146,Cc1ccc2cc(C)c(C)cc2c1,6.68
147,Cc1cc(C)c2c(C)cccc2c1,6.81
148,Cc1ccc2c(C)c(C)ccc2c1C,7.33
149,Cc1ccc(C)c2cc(C)c(C)cc12,7.16
150,CC(C)c1ccc2ccccc2c1,6.21
151,CC(C)c1ccc2cc(ccc2c1)C(C)C,8.1
152,C1Cc2cccc3cccc1c23,6.43
153,c1cc2cccc3C=Cc(c1)c23,6.34
154,C1c2ccccc2c3cc4ccccc4cc13,9.42
155,c1ccc2c(c1)c3cccc4cccc2c34,8.88
156,c1ccc2cc3ccccc3cc2c1,7.71
157,c1ccc2cc3c4cccc5cccc(c3cc2c1)c45,11.37
158,c1ccc2c(c1)ccc3ccccc23,7.62
159,Cc1cccc2c1ccc3ccccc23,7.89
160,c1ccc2c(c1)cc3c4ccccc4c5cccc2c35,11.34
161,c1ccc2cc3c(ccc4ccccc34)cc2c1,10.28
162,c1ccc2c(c1)ccc3c4ccccc4ccc23,9.85
163,c1ccc2c(c1)ccc3cc4c(ccc5ccccc45)cc23,12.59
164,c1ccc2cc3c4ccccc4c5ccccc5c3cc2c1,12.11
165,c1cc2ccc3cccc4ccc(c1)c2c34,8.83
166,c1ccc2c(c1)c3ccc4ccc5cccc6cc2c3c4c56,12.43
167,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,11.56
168,c1ccc2c(c1)c3cccc4ccc5cccc2c5c34,10.72
169,c1cc2cccc3c4cccc5cccc(c(c1)c23)c45,11.7
170,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,12.55
