index,smiles,active
1,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,5.31
2,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,5.95
3,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,3.35
4,COc1ccc(NC(C)=O)cc1,1.4
5,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,1.9
6,c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,6.22
7,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,3.14
8,CN1CCCC1c1cccnc1,2.01
9,NC(=O)c1ccccc1,1.46
10,COP(=S)(OC)Oc1ccc(SC)c(C)c1,3.18
11,CC1=NC(=S)NC(=O)C1,2.14
12,ClC(Cl)(Cl)Cl,1.85
13,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,3.2
14,Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,6.1
15,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,4.14
16,c1ccc2cc3c(ccc4ccccc43)cc2c1,5.3
17,NC(N)=O,0.15
18,CC(O)CO,0.36
19,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,4.78
20,Cc1c2ccccc2c(C)c2c1ccc1ccccc12,5.37
21,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,3.17
22,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,3.35
23,Nc1ccc(N=Nc2ccccc2)cc1,2.79
24,CN(C)c1ccc(N=Nc2ccccc2)cc1,3.87
25,OCCc1ccccc1,1.5
26,CC(N)=O,0.7
27,CNC(=O)CSP(=S)(OC)OC,1.2
28,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,4.08
29,Nc1nc[nH]n1,1.25
30,Nc1ccccc1,1.6
31,CC(N)=S,0.78
32,NC(N)=S,0.85
33,COP(=O)(OC)OC=C(Cl)Cl,1.67
34,CNC(=O)Oc1cccc2ccccc12,2.4
35,Cc1cccc(NC(N)=O)c1,1.56
36,NC(=O)Nc1ccccc1,1.35
37,CCO,0.2
38,CC(=O)O,0
39,O=C(O)c1ccccc1,1.5
40,O=C1N=CC(N(CCCl)CCCl)C(=O)N1,1.46
41,CO,0.44
42,ClC(Cl)Cl,1.6
43,CCCO,0.48
44,CCCCO,0.5
45,CCCCCO,0.7
46,c1ccccc1,1.75
47,CC(Cl)(Cl)Cl,1.95
48,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,4.9
49,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,4.21
50,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,4.82
51,CBr,1.34
52,ClCCl,1.44
53,S=C=S,2.34
54,BrC(Br)Br,2.06
55,ClC(Cl)Br,1.78
56,CC(Cl)Cl,1.48
57,C=C(Cl)Cl,1.81
58,C[As](C)(=O)O,3
59,CC(Cl)(Cl)C(=O)O,0.4
60,O=C(O)C(Cl)(Cl)Cl,0.3
