index,smiles,active
1,C=O,0.35
2,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,1.92
3,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,2.19
4,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C,2.1
5,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,1.47
6,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,-0.4
7,CCC1(CC)C(=O)NC(=O)N(C)C1=O,1.15
8,CCC1(c2ccccc2)NC(=O)N(C)C1=O,1.69
9,O=P1(N(CCCl)CCCl)NCCCO1,0.63
10,CC(O)C(=O)O,-0.72
11,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,1.94
12,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,1.61
13,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,1.62
14,CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O,2.45
15,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,3.91
16,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,6.91
17,O=C(O)c1c(Cl)cccc1Cl,2.23
18,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,6.13
19,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,3.16
20,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,0.33
21,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,2.3
22,CCN(CC)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,2.95
23,S=c1[nH]cnc2[nH]cnc12,0.01
24,CNCCCN1c2ccccc2CCc2ccccc21,4.9
25,CN(C)CCC=C1c2ccccc2CCc2ccccc21,4.92
26,CN(C)CCCN1c2ccccc2CCc2ccccc21,4.8
27,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,5.9
28,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,5.41
29,O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CSC12,-1.62
30,NCCc1c[nH]c2ccc(O)cc12,0.21
31,OCC(O)C(O)C(O)C(O)CO,-2.38
32,O=C1NC(=O)C(=O)C(=O)N1,-1.84
33,CC(=O)Oc1ccccc1C(=O)O,1.19
34,O=C(O)c1cc(Cl)ccc1Cl,2.82
35,O=C1OC(C(O)CO)C(O)C1=O,-1.85
36,Cc1ccc(C(=O)O)c(O)c1,2.99
37,CC(=O)Nc1ccc(C(=O)O)c(O)c1,1.62
38,Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,-0.93
39,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,-1.16
40,CNC(C)C(O)c1ccccc1,-2.45
41,O=CC(O)C(O)C(O)C(O)CO,-2.825
42,CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,4.75
43,CCN(CC)CCNC(=O)c1ccc(N)cc1,0.88
44,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,0.87
45,c1ccc2[nH]cnc2c1,1.32
46,O=C1N=CC(Br)C(=O)N1,-0.21
47,O=C1N=CC(F)C(=O)N1,-0.89
