index,smiles,active
1,CC(O)C(=O)O,-1.089899839
2,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,-6.795899018
3,O=C(O)c1c(Cl)ccc(Cl)c1Cl,-3.2596002
4,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,-8.260399969
5,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,-6.719000741
6,O=C(O)c1cccc(Cl)c1Cl,-3.642099441
7,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,-10.82679916
8,O=C(O)c1cc(Cl)cc(Cl)c1Cl,-3.507200512
9,CC(=O)Oc1ccccc1C(=O)O,-4.598599459
10,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,-3.40889976
11,CN(CCCl)CCCl,-0.76959962
12,CCOC(N)=O,-0.581499841
13,O=[N+]([O-])C(Br)(CO)CO,-4.899598435
14,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,-5.107899829
15,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,-5.712200509
16,c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,-9.019999812
17,CN1CCCC1c1cccnc1,-1.420200403
18,CCN(CC)N=O,-0.065500034
19,COP(=S)(OC)Oc1ccc(SC)c(C)c1,-4.978798293
20,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],-3.397899838
21,CC(C)OP(=O)(F)OC(C)C,-0.237299685
22,ClC(Cl)(Cl)Cl,2.060701617
23,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,-5.175200133
24,Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,-7.366500236
25,c1ccc2cc3c(ccc4ccccc43)cc2c1,-6.677799318
26,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,-7.01320006
27,OCC(O)CO,-3.774701059
28,NC(CCC(=O)O)C(=O)O,-7.76959962
29,NCCCCC(N)C(=O)O,-8.277000207
30,C=CCN=C=S,0.567999789
31,CCCCCCCCCCCCCCCC(=O)O,-6.420200403
32,CCCCCCCCCCCCCCCCCC(=O)O,-6.141400249
33,NC(N)=O,-4.920800659
34,CN(C)N,2.212200926
35,CC(O)CO,-0.88940019
36,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,-4.930374988
37,O=CC(O)C(O)C(O)CO,-9.705500707
38,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,-3.176499688
39,Cc1cc(O)ccc1Cl,-1.300999596
40,OCC(S)CS,-2.300999596
41,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,-11.82390006
42,Nc1ccc(N=Nc2ccccc2)cc1,-5.853899884
43,CN(C)c1ccc(N=Nc2ccccc2)cc1,-7.154900099
44,OCCc1ccccc1,-1.061499788
45,OCCS,0.244499779
46,CCOCC,2.730800035
47,CCCCCC=CCC=CCCCCCCCC(=O)O,-6.061499788
48,CNN,1.699000404
49,CC(N)=O,-1.397899838
50,CNC(=O)CSP(=S)(OC)OC,-4.727001044
51,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-5.22990019
52,Nc1nc[nH]n1,-6.356499949
