index,smiles,active
1,C=O,1.167081857
2,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.698507485
3,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,-4.458685276
4,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C,-4.162715505
5,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.322427235
6,CCC1(CC)C(=O)NC(=O)N(C)C1=O,-2.076833302
7,O=P1(N(CCCl)CCCl)NCCCO1,-0.814698714
8,CC(O)C(=O)O,1.045401223
9,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,-3.240359271
10,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-3.008726396
11,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-3.20358604
12,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,-4.875619956
13,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,-7.723683953
14,O=C(O)c1c(Cl)cccc1Cl,-1.130899762
15,O=C(O)c1c(Cl)ccc(Cl)c1Cl,-1.468200346
16,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,-8.113297705
17,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,-3.577208174
18,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,-3.188398401
19,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,-2.240472168
20,S=c1[nH]cnc2[nH]cnc12,-0.346800033
21,CNCCCN1c2ccccc2CCc2ccccc21,-3.692350036
22,CN(C)CCC=C1c2ccccc2CCc2ccccc21,-4.571500794
23,CN(C)CCCN1c2ccccc2CCc2ccccc21,-4.298997668
24,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,-5.158391373
