index,smiles,active
1,C=O,-11.02826041
2,ClC(Cl)(Cl)Cl,-15.92081875
3,CC(O)CO,-10.92081875
4,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-12.78251606
5,CCOCC,-10.8827287
6,CNN,-10.18708664
7,Nc1ccccc1,-9.954677021
8,CN(C)N=O,-11.59687948
9,CCO,-11.48545225
10,O=CO,-12.34678749
11,CC(=O)O,-12.13076828
12,CCOS(=O)(=O)OCC,-11.74472749
13,CCCCCC=O,-10.49894074
14,CO,-12.02502801
15,CC(C)O,-11.29499204
16,CC(C)=O,-12.65955589
17,ClC(Cl)Cl,-12.98716278
18,CS(C)=O,-10.20760831
19,CCCO,-11.25727487
20,CCCCO,-11.06701918
21,CCCCCO,-10.95467702
22,c1ccccc1,-11.91009489
23,CC(Cl)(Cl)Cl,-14.02548831
24,CBr,-13.39577395
25,CC,-12.57186521
26,C=C,-11.06956041
27,C#C,-12.08884239
28,CCl,-13.36051351
29,CI,-13.1426675
30,CN,-10.65757732
31,C#N,-13.52287875
32,CS,-10.4828041
33,BrCBr,-12.94692156
34,CCBr,-12.45593196
35,ClCBr,-13.05551733
36,CCC,-11.93930216
37,C#CC,-11.22914799
38,CCCl,-12.38615818
39,C=CCl,-11.15739076
40,C=CF,-11.25492521
41,CCN,-10.55752023
42,CC#N,-13.58004425
43,CC=O,-10.80134291
44,CCS,-10.32975415
45,ClCCl,-12.84771166
46,FCF,-13.9625735
47,CSC,-11.31695296
48,C1CC1,-13.07572071
49,C1CO1,-13.11918641
50,CC(C)Br,-12.05551733
51,CC(C)C,-11.63078414
52,CC(C)Cl,-12.03621217
53,CC(C)S,-10.37675071
54,CC(Cl)Cl,-12.56224944
55,C=C(Cl)Cl,-10.9625735
56,CC(=O)Cl,-14.04095861
57,CC(F)F,-13.46852108
58,C=C(F)F,-11.67778071
59,FC(Cl)Cl,-13.51855737
60,O=C(Cl)Cl,-15
61,FC(F)Cl,-14.32975415
62,FC(F)F,-15.50863831
63,CN(C)C,-10.21538271
64,C[N+](=O)[O-],-12.88605665
65,CC1CO1,-12.28399666
66,FC(F)(Br)Br,-15.22914799
67,FC(F)(F)Br,-16
68,CC(C)(C)N,-10.92811799
69,CC(C)(C)O,-11.95078198
70,CC(C)(C)S,-10.48017201
71,CC(F)(F)Cl,-14.51427857
72,FC(Cl)(Cl)Cl,-15.30103
73,FC(F)(Cl)Cl,-15.39794001
74,FC(F)(F)Cl,-15.15490196
75,FC(F)(F)F,-15.39794001
76,C[Si](C)(C)C,-12
77,CCC(C)(C)C,-11.63451202
78,CC(C)(C)CO,-11.25727487
79,O=CC(Cl)(Cl)Cl,-11.79588002
80,FC(F)(F)CCl,-13.79048499
81,OCC(F)(F)F,-13.01999663
82,O=CC(F)(F)F,-12.22184875
83,CC(C)(C)OO,-11.52287875
84,CC(=O)C(C)(C)C,-11.91721463
85,CC(=O)OC1CC2CCC1(C)C2(C)C,-10.8569852
86,COC(C)(C)OC,-11.40671393
87,COS(=O)(=O)OC,-12.30103
88,CCOP(=O)(OCC)OCC,-10.25727487
89,C=CC(C)(O)CCC=C(C)C,-9.795880017
90,CCC(C)C,-11.40893539
91,C=CC(=C)C,-9.995678626
92,CC(C)C=O,-10.58004425
93,C=C(C)C=O,-10.47495519
94,CCC(C)Cl,-11.63827216
95,CCC(C)O,-11.01772877
96,CCC(C)=O,-11.93930216
97,C=CC(C)=O,-10.72584215
98,CC(=O)C=O,-10.76447155
99,ClCC(Cl)Cl,-12.70774393
100,ClC=C(Cl)Cl,-11.627088
101,O=CC(Cl)Cl,-11.63827216
102,CCC(=O)O,-11.91364017
103,CNC(C)=O,-11.28399666
104,COC(C)=O,-12.46724562
105,CC[N+](=O)[O-],-12.82390874
106,CC(C)C(C)C,-11.20760831
107,CC(C)C(=O)O,-11.69897
108,ClC(Cl)C(Cl)Cl,-12.60205999
109,FC(F)=C(Cl)Cl,-11.13371266
110,FC(F)=C(F)Cl,-11.15490196
111,CC(C)[N+](=O)[O-],-12.58502665
112,C=C1C2CCC(C2)C1(C)C,-10.27327279
113,CC1=CCC2CC1C2(C)C,-10.27002571
114,C=C(C)C(=O)OC,-10.58502665
115,c1cc2c3c(cccc3c1)CC2,-10.23657201
116,c1ccc2c(c1)ccc1ccccc12,-10.88605665
117,O=[N+]([O-])c1cccc2ccccc12,-11.26760624
118,c1ccc2c(c1)Cc1ccccc1-2,-10.88605665
119,C=C1CCC=C(C)CCC2C1CC2(C)C,-9.698970004
120,Cc1ccccc1[N+](=O)[O-],-12.15490196
121,O=[N+]([O-])c1ccccc1O,-12.04575749
122,Cc1cccc2ccccc12,-10.27572413
123,Oc1cccc2ccccc12,-9.259637311
124,COc1ccccc1OC,-10.45593196
125,c1ccc2ccccc2c1,-10.66554625
126,c1ccc2ncccc2c1,-10.93554201
127,Cc1ccc2ccccc2c1,-10.28149831
128,c1ccc(-c2ccccc2)cc1,-11.1426675
129,C1=Cc2ccccc2C1,-10.29242982
130,Cc1ccccc1C,-10.86327943
131,Cc1ccccc1O,-10.37675071
