index,smiles,active
1,CN1N=C(C=C1O)C1C=CC=CC=1,10.9
2,CC1=NNC(O)=C1C1C=CC=CC=1,11.4
3,CC1C(O)=NNC=1C1C=CC=CC=1,7.6
4,CC1=CC(O)=NN1C1C=CC=CC=1,12.14
5,OC(O)=CCC1NC2C=CC=CC=2N=1,13.1
6,OC1CC(NC(=O)N=1)C1C=CC=CC=1,11.22
7,OC1NC(=O)N=C1CC1C=CC=CC=1,9.03
8,O=S(CC1C=CC=CC=1)C1NC=CN=1,9.8
9,COP(=O)(NC1=NC=CS1)C1C=CC(=CC=1)[N+]([O-])=O,8.6
10,OC(O)=CCC1=NN=NN1C1C=CC=CC=1,5
11,NC1C=CC(=CC=1)S(=O)(=O)NC1C=CN=CN=1,6.17
12,NC1C=CC(=CC=1)S(=O)(=O)NC1C=NC=CN=1,6.04
13,NC1C=CC(=CC=1)S(=O)(=O)NC1N=CC=CN=1,6.42
14,C=C(O)N(C1=NN=C(S1)S(N)(=O)=O)C1C=CC=CC=1,7.32
15,NC1=NNC(N)=C1N=NC1C=CC(=CC=1)C(O)=O,4.68
16,CC(=O)C=C(O)C1C=CC=CC=1,8.69
17,CC1C=C(C=CC=1)C=CC(O)=O,4.44
18,CC1C=CC=CC=1C=CC(O)=O,4.5
19,OC(=O)C1=CC(=CC=C1)C1CC1,4.28
20,OC(O)=C1CC1C1C=CC=CC=1,4.68
21,OC(O)=CSC=CC1C=CC=CC=1,3.5
22,COC1C=C(C=CC=1)C=CC(O)=O,4.38
23,COC1C=CC=CC=1C=CC(O)=O,4.42
24,C=CCOC1C=CC(=CC=1)C(O)=O,4.45
25,CC1=CC(C(=O)C(O)=O)=C(C)C=C1,1.45
26,OC(O)=C1CCC2C=CC=CC=2O1,3.38
27,CC(C)C1C=CC(Br)=C(O)C(=O)C=1,6.28
28,CC(C)C1=CC=CC(=O)C(O)=C1Br,6.68
29,CN(C)C1C=C(C=CC=1)C(N=O)C(F)(F)F,9.3
30,N=C(CC1=NNC2=CC=CC=C21)C(O)O,2.2
31,CC1=CSC(NS(=O)(=O)C2C=CC(N)=CC=2)=N1,7.12
32,CC1C=C(C=CC=1N)S(=O)(=O)NC1=NC=CS1,7
33,NC1C=CC(=CC=1)S(=O)(=O)NC1=NC(N)=CC=N1,9.44
34,COC1C=CC=CC=1C=CCN=O,11.07
35,CCOC(=S)NC(=O)C1C=CC=CC=1,7.46
36,CCOC(=O)C(N=O)C1C=CC=CC=1,8.95
37,N=C(O)C(CC(O)=O)C1C=CC=CC=1,4.23
38,CC1=CC=C(C=C1)SC1CC(O)=N1,13.45
39,C=C(O)CC(=S)NC1C=CC=CC=1,7.5
40,CCCCC1=CC(Cl)=CC(Cl)=C1O,8.1
41,CN(C)C(O)=CC(=O)C1C=CN=CC=1,7.75
42,OC1=NC(=S)NC(=O)C1C1CCCC=C1,11.31
43,N=C(CCC1C=CC(=CC=1)[N+]([O-])=O)C(O)O,3.05
44,CC1N=C(N=C(O)C=1C)N1N=C(C)C=C1O,5.5
45,CC1C=C(O)N(N=1)C1N=C(C=C(C)N=1)OC,6.9
46,OC1CSC2=NC=NC(=C2N=1)N1CCOCC1,10.37
47,OC1C=CC=C2CCCCC2=1,10.46
48,COC1C=C(CC=C)C=CC=1O,10
49,CC1=CC(O)=C(C=C1C)C(=C)O,11.56
50,CC(C)C1C=C(O)C(=O)C=CC=1,7.22
51,CC(C)C1C=C(C=CC=1)C(O)=O,4.27
52,CC(C)C1C=CC=CC=1C(O)=O,3.64
53,OC(O)=CCCC1C=CC=CC=1,4.78
54,OC(O)=CSCCC1C=CC=CC=1,3.8
55,COCC1C2CC(C=C2)C=1C(O)=O,4.59
56,COC1C=CC(CC=C(O)O)=CC=1,4.72
57,COC1C=CC=CC=1CC=C(O)O,4.8
58,CCCOC(=O)C1C=CC(O)=CC=1,8.3
59,CCCOC1C=CC=CC=1C(O)=O,4.24
60,CC1C=C(C=CC=1C(O)=O)OCC,4.54
61,CC1C=CC(=CC=1C(O)=O)OCC,3.86
62,CC1C(=CC=CC=1C(O)=O)OCC,3.73
63,CC(=C1C=C(O)C(C)=C1C)C(O)=O,3.1
64,CC(C)OC1C=C(C=CC=1)C(O)=O,4.15
65,CC(C)OC1C=CC=CC=1C(O)=O,4.24
66,CC1=CC=CC(C)=C1OC=C(O)O,3.36
67,CC1C=CC=CC=1OC(C)=C(O)O,3.37
68,CC1C=C(O)C(=CC=1Cl)C(C)C,9.98
69,CN(C)C1C=CC(=CC=1)NC(=O)CN=O,9.26
70,C[N+](C)(C)NC(=O)C1=CC=C(C=C1)[N+]([O-])=O,3.11
71,NC1N=C(O)C2N=CN(C3CC(O)C(CO)O3)C=2N=1,-0.97
72,NC1N=CN=C2C=1N=CN2C1OC(CO)C(O)C1O,12.5
73,NC1N=C(O)C2N=CN(C3OC(CO)C(O)C3O)C=2N=1,1.9
74,CC1=CC(C(C)N=O)=C(O)C=C1C,8.2
75,NCCCC#CC#CCC=C(O)O,4.12
76,CCC1=CC(=CC(CC)=C1O)[N+]([O-])=O,7.73
77,CC1C=CC(=CC=1)S(=O)(=O)NCC=C(O)O,11.2
78,C[N+](C)(C)/N=C(/O)\C1C=CC=CC=1,4.29
79,CC(C)(C)C(=O)C1=CC(=NN1)C(=C)O,9.7
80,CS(=O)(=O)NC1C=CC(CC(=N)C(O)O)=CC=1,3.15
81,CC1=CN(C2CC(O)C(CO)O2)C(=O)NC1=S,8.8
82,CCCCOC(=O)C1C=CC=[N+](O)C=1,0.03
83,CC(C)(C)C1C=CC(O)=CC=1,10.27
84,CC1C=C(O)C=CC=1C(C)C,10.31
85,CC1C=C(C=CC=1O)C(C)C,10.56
86,CC1=CC=CC(C(C)C)=C1O,10.85
87,CC1C=CC(O)=C(C=1)C(C)C,10.73
88,CCCCOC1C=CC(O)=CC=1,10.23
89,OS(=O)CCCCC1C=CC=CC=1,2.23
90,C[Si](C)(C)C1=CC(=CC=C1)C(O)=O,4.24
91,C[Si](C)(C)C1C=CC(=CC=1)C(O)=O,4.27
92,COC1=CC2CCC1(CC2)C(O)=O,4.45
93,CC1C(O)=CC(C(C)=C(O)O)C=1C,4.4
94,CC1=CC=C(C=C1)S(=O)(=O)NCCC(N)=N,9.49
95,NC1=NC(O)=[N+](C=C1CO)C1CC(O)C(CO)O1,3.55
