index,smiles,active
1,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,1.93
2,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,0.05
3,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,1.65
4,c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,0.21
5,COP(=S)(OC)Oc1ccc(SC)c(C)c1,-0.36
6,ClC(Cl)(Cl)Cl,-1.19
7,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,-0.41
8,c1ccc2cc3c(ccc4ccccc43)cc2c1,0.02
9,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,2.2575
10,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,1.4925
11,Cc1cc(O)ccc1Cl,-1.28
12,CCOCC,-0.7
13,CNC(=O)CSP(=S)(OC)OC,-1.01
14,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,1.645
15,CCOc1ccc(NC(C)=O)cc1,-0.55
16,Nc1ccccc1,-0.78
17,CNC(=O)Oc1cccc2ccccc12,-1.18
18,ClC(Cl)Cl,-0.76
19,ClC(Cl)(Cl)C(Cl)(Cl)Cl,0.76
20,CC(Cl)(Cl)Cl,-1.39
21,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,2.44
22,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,1.71
23,ClCBr,-0.74
24,ClCCl,-0.51
25,BrC(Br)Br,-0.7
26,C=C(Cl)Cl,-0.72
27,CC(C)(C)O,-1.13
28,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,1.45
29,ClC(c1ccccc1)(c1ccccc1)c1ccccc1,-0.15
30,Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,0.5
31,CCOP(=O)(OCC)OCC,-1.09
32,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,-0.29
33,CC1=CC(=O)CC(C)(C)C1,-1.29
34,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,0.77
35,C=CC(=C)C,-0.61
36,CC(Cl)CCl,-1.06
37,ClCC(Cl)Cl,-1.01
38,ClC=C(Cl)Cl,-0.41
39,ClC(Cl)C(Cl)Cl,-0.67
40,CC(C)[N+](=O)[O-],-1.2
41,C=C1C2CCC(C2)C1(C)C,0.96
42,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,0.27
43,CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,-0.01
